103,0.18000000000000002,0.1225,-0.09375,0.13875,0.042499999999999996,0.33,0.1332,0.251,0.15411764705882353
104,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
105,0.18000000000000002,0.1225,-0.09375,0.13875,0.042499999999999996,0.33,0.1332,0.251,0.15411764705882353
106,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
107,0.18000000000000002,0.1225,-0.09375,0.13875,0.042499999999999996,0.33,0.1332,0.251,0.15411764705882353
108,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
109,0.18000000000000002,0.1225,-0.09375,0.13875,0.042499999999999996,0.33,0.1332,0.251,0.15411764705882353
112,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
113,0.8100000000000004,-0.015000000000000027,-0.2249999999999999,0.05000000000000001,0.0049999999999999975,-0.0049999999999999906,0.06480000000000002,0.14500000000000002,0.08647058823529415
114,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
115,0.8100000000000004,-0.015000000000000027,-0.2249999999999999,0.05000000000000001,0.0049999999999999975,-0.0049999999999999906,0.09230769230769233,0.20272727272727276,0.08647058823529415
116,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
117,0.8100000000000004,-0.018235294117647086,-0.2249999999999999,0.05000000000000001,0.0049999999999999975,-0.0049999999999999906,0.09230769230769233,0.20272727272727276,0.08647058823529415
118,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
119,0.8100000000000004,-0.018235294117647086,-0.2249999999999999,0.05000000000000001,0.0049999999999999975,-0.0049999999999999906,0.09230769230769233,0.20272727272727276,0.12666666666666668
122,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
123,0.8100000000000002,-0.07000000000000002,-0.388,-0.12999999999999998,0.0049999999999999975,0.08,0.014705882352941195,0.265,0.03214285714285716
124,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
125,0.8100000000000002,-0.07000000000000002,-0.388,-0.12999999999999998,0.0049999999999999975,0.08,0.014705882352941195,0.265,0.03214285714285716
126,descriptors,feedback,appreciation,disagreement,support,encouragement,creativity,degradation,problem_solving
127,0.81,0.78,0.42,0.31,0.08,-0.07,-0.12,-0.6,0.14
128,descriptors,feedback,appreciation,disagreement,support,encouragement,creativity,degradation,problem_solving
129,0.81,0.78,0.42,0.31,0.08,-0.07,-0.12,-0.6,0.14
130,descriptors,feedback,appreciation,disagreement,support,encouragement,creativity,degradation,problem_solving
131,0.81,0.78,0.42,0.31,0.08,-0.07,-0.12,-0.6,0.14
132,descriptors,feedback,appreciation,disagreement,support,encouragement,creativity,degradation,problem_solving
133,0.81,0.78,0.42,0.31,0.08,-0.07,-0.12,-0.6,0.14
134,descriptors,feedback,appreciation,disagreement,support,encouragement,creativity,degradation,problem_solving
135,0.81,0.78,0.42,0.31,0.08,-0.07,-0.12,-0.6,0.14
